,col1
1155," The lack of public interest could be inferred from the fact that between 1725 and 1765, there was no meeting of the shareholders and the company was simply managed as a department of the State"
1156,  Naval Superiority The Royal Navy of Britain was not only the largest
1157, it was most advanced of its times
1158, The victory against the Spanish Armada and against the French at Trafalgar had put the Royal Navy at the peak of the European naval forces
1159," In India too, the British were able to defeat the Portuguese and the French due to strong and fast movement of the naval ships"
1160, The English learnt from the Portuguese the importance of an efficient navy and improved their own fleet technologically
1161,"  Industrial Revolution The Industrial Revolution started in England in the early 18th century, with the invention of new machines like the spinning Jenny, steam engine, the power loom and several others"
1162," These machines greatly improved production in the fields of textile, metallurgy, steam power and agriculture"
1163, The industrial revolution reached other European nations late and this helped England to maintain its hegemony
1164,  Military Skill and Discipline The British soldiers were a disciplined lot and well trained
1165, The British commanders were strategists who tried new tactics in warfare
1166, Technological developments equipped the military well
1167, All this combined to enable smaller groups of English fighters defeat larger armies
1168,"  Stable Government With the exception of the Glorious Revolution of 1688, Britain witnessed stable government with efficient monarchs"
1169,Other European nations like France witnessed violent revolution in 1789 and afterwards the Napoleonic Wars
1170," Napoleon's defeat in 1815, significantly weakened France's position and from then on it was forced to side with Britain"
1171, The Italians were united as a nation as late in 1861
1172, The Dutch and Spain were also involved in the 80years war in the 17th century which weakened Portuguese imperialism
1173," The Dutch East India Company, affected by bankruptcy in 1800 coupled with the revolution in 1830, was forced to sell its possessions to Britain and quit Asia"
1174,"  Lesser Zeal for Religion Britain was less zealous about religion and less interested in spreading Christianity, as compared to Spain, Portugal or Dutch"
1175," Thus, its rule was far more acceptable to the subjects than that of other colonial powers"
1176,"  Use of Debt Market One of the major and innovative reasons why Britain succeeded between the mideighteenth century and the midnineteenth century, while other European nations fell, was that it used the debt markets to fund its wars"
1177, The world's first central bankthe Bank of Englandwas established to sell government debt to the money markets on the promise of a decent return on Britain's defeating rival countries like France and Spain
1178, Britain was thus enabled to spend much more on its military than its rivals
1179, Britain's rival France could not match the expenditure of the English
1180," between 1694 and 1812, first under the monarchs, then under the revolutionary governments and finally under Napoleon Bonaparte, France simply went bankrupt with its outdated ways of raising money"
1181,Summary Why a Sea Route to India : Spirit of renaissance in the 15thcentury Europe
1182," European economy growing rapidly, leading to prosperity and demand for luxury goods"
1183, increase in the supply of meat requiring spices for preservation
1184,"Capture of Constantinople in 1453, and Syria and Egypt later by the Ottoman Turks calling for a new route to reach India without dealing with Arabs and Turks"
1185,Venice and Genoa too small to stand up to the Turks
1186, Spain and Portugal aided with money and men by the North Europeans and by ships and technical knowledge by the Genoese
1187," The Portuguese the pioneers followed by the Dutch, English, Danes and the French respectively to reach India"
1188, The Portuguese Vasco Da Gama discovered sea route to India in 1498
1189," Vasco's second visit in 1502 led to the establishment of trading stations at Calicut, Cochin and Cannanore"
1190," Francisco de Almeida (150509) First governor, initiated the blue water policy (cartaze system)"
1191, Alfonso de Albuquerque (15091515) Considered to be the founder of the Portuguese power in India: captured Goa from Bijapur
1192, captured Bhatkal from Sri Krishna Deva Rai (1510) of the Vijayanagar
1193, and initiated the policy of marrying with the natives of India and banned the practice of sati in his area of influence
1194, Nino de Cunha (152938) shifted the capital from Cochin to Goa in 1530
1195," In his rule, Diu and Bassein came under the Portuguese occupation from Gujarat King Bahadur Shah"
1196, Bahadur Shah got killed in 1537 at Diu while negotiating with the Portuguese
1197," Factors for Decline of the Portuguese in India (a) emergence of powerful dynasties in Egypt, Persia and north India and the appearance of the Marathas as neighbours"
1198," political fears aroused by the activities of Jesuit missionaries, and hatred of persecution (such as inquisition) that caused reaction against Portuguese spiritual pressure"
1199, rise of the English and Dutch commercial ambitions challenging the Portuguese supremacy
1200," rampant corruption, greed and selfishness along with piracy and clandestine trade practices of the Portuguese administration in India"
1201, diversion of Portuguese colonising ambitions towards the West due to the discovery of Brazil
1202," The United East India Company of the Netherlands (Verehgidge Oost Indische Compagnie), formed in March 1602 by the Charter of Dutch Parliament, had the powers to wage wars, make treaty and build forts"
1203,"Dutch Factories in India Masulipatnam (1605), Pulicat (1610), Surat (1616), Bimlipatam (1641), Karikal (1645), Chinsurah (1653), Cassimbazar (Kasimbazar), Baranagore, Patna, Balasore, Nagapatam (1658) and Cochin (1663)"
1204, Decline in India The defeat of the Dutch in the AngloDutch rivalry and the shifting of Dutch attention towards the Malay Archipelago
1205,  Battle of Bidara (1759) The English defeated the Dutch
1206," The English Factors for Foundation Drake's voyage round the world, and English victory over the mighty Spanish Armada leading to great ambitions"
1207," Formation English East India Company was formed on December 31, 1600 by the charter issued by Queen Elizabeth I, which gave the company monopoly to trade in the East Indies for 15 years"
1208," With Captain Thomas Best's victory over the Portuguese (1612), the English established their first factory at Surat (1613)"
1209," Subsequently Sir Thomas Roe secured permission from Jehangir to establish factories at Agra, Ahmedabad and Broach"
1210,"  Bombay came under the control of the Company, with Charles II (who received it as a part of the Portuguese dowry) leasing it out to the English Company for an annual rent of 10 pounds"
1211, Madras with the Fort St
1212," George replaced Masulipatnam as the English headquarters on the east coast, when the former was given by the Chandragiri chief to the English in 1639"
1213,"The city of Calcutta grew from the development of three villages Sutanuti, Gobindapur and Kalikata secured from the Mughal governor of Bengal"
1214, The fortified settlement was named Fort William (1700) and it became the seat of British power in India till 1911
1215," Farrukhsiyar's Farmans In 1717, the Mughal Emperor Farrukhsiyar's farmans, called Magna Carta of the East India Company, gave significant privileges to the Company in Bengal, Gujarat and Hyderabad"
1216,"   Problems of Company at Home In 1635, a rival company named Courteen Association later called the Assada company, formed by Sir William Courteen, was given license to trade by Charles I"
1217," In 1657, both the companies merged"
1218," In 1698, another rival company emerged"
1219," In 1702, the rivalry between the old and the new company came to an end, but their final amalgamation took place in 1708 under the title'The United Company of Merchants of England Trading to the East Indies, after the arbitration of the Earl of Godolphin"
1220, This Company ruled in India till 1858
1221," The French Foundation In 1664, Colbert, a minister of Louis XIV, laid the foundations of Compagnie des Indes Orientales"
1222," Settlements in India Pondicherry, developed as headquarters, was granted to Francois Martin, the director of Masulipatnam factory, by Valikondapuram governor Sher Khan Lodi in 1673"
1223, Finally incorporated into Indian Union in 1954
1224, AngloFrench Rivalry in India The AngloFrench rivalry in India coincided with the wars between the English and French in Europe
1225,  For protection and expansion of commercial interests
1226, Political developments in the south India and Europe provided pretexts to contest their claims which culminated in three Carnatic wars
1227, First Carnatic War (174048) It was an extension of the AngloFrench rivalry in Europe and ended in 1748 with the Treaty of AixLa Chapelle
1228," Second Carnatic War (174954) Although inconclusive, it undermined the French power in South India visavis the English"
1229," Third Carnatic War (175863)  A decisive war, known for the Battle of Wandiwash (176061)"
1230, An echo of the AngloFrench struggle in Europe
1231," By the Treaty of Paris (1763), the French were allowed to use Indian settlements for commercial purposes only and fortification of settlements were banned"
1232," Causes of the French Failure  Inadequate Military and Financial Support  France's Involvement in Europe  Illmanaged Policy of Imperial France  Lack of Commercial Incentive to the French Company  Sound Commercial Base of the English Company    64      A Brief History of Modern India  4 India on the Eve of British Conquest The first half of the eighteenth century saw the decline of the mighty Mughals, who had been the envy of their contemporaries for almost two centuries"
1233, The reign of Aurangzeb (16581707) proved to signify the beginning of the end of Mughal rule in India
1234, It is argued that Aurangzeb's misguided policies weakened the stability of the state and the decline gained momentum after his death due to wars of succession and weak rulers
1235," Though Muhammad Shah ruled for a long spell of 29 years (171948), a revival of the imperial fortunes did not take place as he was an incompetent ruler"
1236," Muhammad Shah's reign witnessed the establishment of the independent states of Hyderabad, Bengal, Awadh and Punjab"
1237, Several local chiefs began to assert their independence and the Marathas began to make their bid to inherit the imperial mantle
1238,"  Challenges before the Mughals External Challenges In the absence of internal strength, the Mughals could not put a tough front against external challenges which came in the form of several invasions from the northwest"
1239, The northwestern borders had been neglected by the later Mughals and not much effort was expended in protecting the border
1240,"India on the Eve of British Conquest  View Nader Shah was Mughal emperor for only fiftyseven days, in 1739, but those days created aftershocks that transformed India's politics"
1241," They broke existing centres of authority, massively shrinking the scope of Mughal power"
1242, They set loose bands of mounted warriors who ransacked the countryside seeking wealth from villages and towns
1243, They pushed traders behind the walls of whichever power had the strongest forts
1244," For a short period plunder, rather than negotiation, became the most effective tool for creating new centres of wealth"
1245, Those fiftyseven days laid the ground which allowed the East India Company to conquer territory in India for the first time
1246," Jon Wilson, India Conquered  Nadir Shah, the Persian emperor, attacked India in 173839, conquered Lahore and defeated the Mughal army at Karnal on February 13, 1739"
1247," Later, Muhammad Shah was captured, and Delhi looted and devastated"
1248," According to an estimate, apart from the Peacock Throne and the Kohinoor diamond, seventy crore rupees were collected from the official treasury and the safes of the rich nobles"
1249, Nadir Shah gained the strategically important Mughal territory to the west of the Indus including Kabul
1250," Thus, India once again became vulnerable to the attacks from the northwest"
1251," Ahmad Shah Abdali (or Ahmad Shah Durrani), who was elected the successor of Nadir Shah after the latter's death in 1747, invaded India several times between 1748 and 1767"
1252, He continuously harassed the Mughals who tried to buy peace in 175152 by ceding Punjab to him
1253," In 1757, Abdali captured Delhi and left behind an Afghan caretaker to watch over the Mughal emperor"
1254," Before his return, Abdali had recognised Alamgir II as the Mughal emperor and the Rohilla chief, NajibudDaula, as Mir Bakhshi of the empire, who was to act as personal'supreme agent' of Abdali"
1255," In 1758, NajibudDaula was expelled from Delhi by the Maratha chief, Raghunath Rao, who also captured Punjab"
1256," In 1759, Ahmad Shah Abdali returned to India to take revenge on the Marathas"
1257," In 1761, Abdali defeated the Marathas in    66      A Brief History of Modern India  Why Many Empireshaking Battles at Panipat? Panipat and its adjacent region, located in present Haryana on the banks of the Yamuna and between the fertile plains of the Ganga and Indus rivers, have witnessed several battles"
1258, These battles changed the course of Indian history at different points of time
1259, The first Battle of Panipat in 1526 was between Babur and Ibrahim Lodi
1260, The result of the battle laid the foundation of the Mughal Empire by ending the rule of the Delhi Sultanate
1261,The Second Battle of Panipat in 1556 was between Akbar and Hemu
1262, It decided in favour of the continuation of the Mughal rule
1263,The Third Battle of Panipat in 1761 between the Marathas and Ahmad Shah Abdali put an end to the Maratha ambition of ruling over India
1264, Why Panipat was a favourite battle field  Panipat had a strategic location
1265," One of the parties of the war generally came from the north/northwest through the Khyber Pass to get hold over Delhi, the political capital of northern India"
1266, To move a military through rough terrainsdeserts of Rajasthan or the other northern areas infested with dense forestswas very risky and difficult
1267," On the other hand, the rulers at Delhi considered Panipat as a confrontable strategic ground and hence they preferred to take the fight there"
1268," Its proximity to Delhi made it easier for the Indian rulers to transport weapons, military and food supplies etc"
1269, Panipat's surrounding region has a flat ground which was suitable for cavalry movementthe main mode of warfare at the time
1270,"  After the construction of the Grand Trunk Road by Sher Shah Suri (154045), Panipat was on this route"
1271, It became easier for conquerors to find their way there
1272,  The duration of monsoon rainfall in the region is short in comparison to other areas making it easier to fight
1273,  The artisans/smiths of these regions were experts in making warfarerelated materials and hence it became easier for forces of both parties to replenish their war materials
1274,India on the Eve of British Conquest
1275, The last of Abdali's invasions came in 1767
1276,"  Weak Rulers after AurangzebAn Internal Challenge Bahadur Shah I (1709 March 1712) After a nearly twoyearlong war of succession, the 63yearold Prince Muazzam, the eldest son of Aurangzeb, became the emperor, taking the title Bahadur Shah"
1277, He was later called Bahadur Shah I
1278, He had killed his brothers Muhammad Azam and Kam Bakhsh in the war of succession
1279, Khafi Khan gave the title of ShahiBekhabar to Bahadur Shah
1280," He adopted a pacific policy with the Marathas, the Rajputs and the Jats"
1281," Shahu, the Maratha prince, was released from Mughal captivity, and Rajput chiefs were confirmed in their respective states"
1282," However, the Sikh leader Banda Bahadur attacked the Muslims in Punjab and hence the emperor took action against him"
1283, Bahadur Shah I died in February 1712
1284," Jahandar Shah (March 1712February 1713) With the help of Zulfikar Khan, Jahandar Shah became the emperor"
1285, Zulfikar Khan was appointed prime minister
1286, he introduced izara system to improve the financial condition of the empire
1287, Jahandar Shah abolished Jaziya
1288," Farrukhsiyar (1713-1719) After killing Jahandar Shah with the help of Sayyid brothersAbdulla Khan and Hussain Ali (known as'King Makers'), Farrukhsiyar became the new emperor"
1289, He followed a policy of religious tolerance by abolishing Jaziya and pilgrimage tax
1290," In 1717, he gave View He (Bahadur Shah I) was the last Emperor of whom anything favourable can be said"
1291," Henceforth, the rapid and complete abasement and practical dissolution of the Empire are typified in the incapacity and political insignificance of its sovereigns"
1292, Sidney Owen  farmans to the British
1293," In 1719, the Sayyid brothers, with the help of Peshwa Balaji Vishwanath, dethroned Farrukhsiyar"
1294," Later, he was blinded and killed"
1295, It was the first time in the Mughal history that an emperor was killed by his nobles
1296," RafiudDarajat (February 28 to June 4, 1719) He ruled for the shortest period among the Mughals"
1297," RafiudDaula (June 6 to September 17, 1719) The Sayyid brothers placed RafiudDaula with the title Shah Jahan II on the throne"
1298, The new emperor was an opium addict
1299," Muhammad Shah (171948) After the death of RafiudDaula, Raushan Akhtar became the choice of the Sayyid Brothers"
1300," Muhammad Shah, as he came to be known in history, was given the title of'Rangeela' due to his luxurious lifestyle"
1301," Muhammad Shah, with the help of NizamulMulk, killed the Sayyid Brothers"
1302," In 1724, NizamulMulk became the wazir and founded the independent state of Hyderabad"
1303," In 1737, Baji Rao I, the Maratha Peshwa invaded Delhi with a small army of 500 horsemen"
1304," In 1739, Nadir Shah defeated the Mughals in the Battle of Karnal and later imprisoned Muhammad Shah and annexed areas west of the Indus into the Persian empire"
1305," Ahmad Shah (17481754) Ahmad Shah was an incompetent ruler who left the state affairs in the hands of Udham Bai, the'Queen Mother'"
1306," Udham Bai, given the title of QiblaiAlam, was a lady of poor intellect who ruled with the help of her paramour, Javid Khan (a notorious eunuch)"
1307, Alamgir II (17541758) Alamgir II was a grandson of Jahandar Shah
1308," Ahmed Shah Abdali, the Iranian invader, reached Delhi in January 1757"
1309," During his reign, the Battle of Plassey was fought in June 1757"
1310, Shahjehan III (17581759) Shah Alam II (17591806) His reign saw two decisive battlesthe Third Battle of Panipat (1761) and the Battle of Buxar (1764)
1311," In 1765, according to the terms of Treaty of Allahabad (August 1765), he was taken under the East India Company's protection and resided at Allahabad"
1312," He also issued a farman granting to the Company in perpetuity the Diwani (the right to collect revenue) of Bengal, Bihar and Orissa"
1313," In 1772, the Marathas took him to Delhi where he lived till 1803"
1314," In 1803, he again accepted the protection of the English, after the defeat of Daulat Rao Scindia by the English"
1315," Afterwards, the Mughal emperors became the pensioners of the English"
1316, Akbar II (180637) He gave the title of Raja to Rammohan Rai
1317," In 1835, the coins bearing the names of Mughal emperors were stopped"
1318, Bahadur Shah II (18371857) Bahadur Shah II or Bahadur Shah Zafar (Zafar being his surname) was the last Mughal emperor
1319, The Revolt of 1857 had made a futile attempt to declare him the Emperor of India
1320, He was captured by the English and sent to Rangoon where he died in 1862
1321," In legal terms, the Mughal Empire came to an end on November 1, 1858 with the declaration of Queen Victoria"
1322,  Causes of Decline of Mughal Empire Why the Mughal Empire declined has been a subject of debate among historians
1323, Scholarly opinion can be divided along two broad linesthose who view the matter as generally empirerelated and those who regard the developments as regionrelated
1324, The empirerelated or Mughalcentric view sees the causes of the decline within the structure and functioning of the empire itself
1325, The regionrelated view finds the causes of Mughal decline in the turmoil and instability in the different parts of the empire
1326, The decline was due to both aspects
1327," The process of disintegration of the Mughal Empire began during the reign of Aurangzeb, but it picked up momentum only after his death in 1707"
1328," At his death, conditions were not such that the process of decline could  not be checked"
1329," Although Mughal authority was challenged by several chiefs and rulers, none could assert independence in the face of the imperial might"
1330," The Sikhs, Marathas and Rajputs did not possess the capacity to overthrow the empire"
1331, they merely resisted Mughal power to gain and keep their independence in their respective territories
1332," Thus, if the successors of Aurangzeb had been capable rulers, the empire might not have fallen"
1333," Most of the emperors who came after Aurangzeb proved to be incapable, weak and licentious monarchs who hastened the process of disintegration of the empire and, finally, its collapse"
1334, The major factors which contributed to the downfall of the Mughal Empire are discussed below
1335,  Shifting Allegiance of Zamindars Two classes shared the power of the State with the emperor during the medieval periodthe zamindars and the nobles
1336," The zamindars were hereditary owners of their lands who enjoyed certain privileges on hereditary basis, and were variously known as rais, rajas, thakurs, khuts or deshmukhs"
1337," They occupied an important place in the empire because they helped in the collection of revenue and in local administration, for which they maintained soldiers"
1338," Though the Mughals had tried to curb the power of the zamindars and maintain direct contact with the peasants, they had not wholly succeeded"
1339," During the reign of Aurangzeb itself, there was a marked increase in the power and influence of the zamindars"
1340, The biggest fallout of this was that regional loyalties were encouraged
1341," Many local zamindars helped the nobility, the other powerful class within the empire, to take advantage of the weakness of the empire and carve out independent kingdoms for themselves"
1342,  Jagirdari Crisis The nobility comprised people who were either assigned large jagirs and mansabs or appointed subahdars of Mughal subas and given the responsibility of maintaining these
1343, To      India on the Eve of British Conquest    71  Views The roots of the disintegration of the Mughal empire may be found in the Medieval Indian economy
1344," the stagnation of trade, industry and scientific development within the limits of that economy"
1345, the growing financial crisis which took the form of a crisis of the jagirdari system and affected every branch of state activity
1346, the inability of the nobility to realise in the circumstances their ambitions in the service of the state and consequently the struggle of factions and the bid of ambitious nobles for independent dominion
1347," the inability of the Mughal emperors to accommodate the Marathas and to adjust their claims within the framework of the Mughal empire, and the consequent breakdown of the attempt to create a composite ruling class in India"
1348," and the impact of all these developments on politics at the court and in the country, and upon the security of the northwestern passes"
1349," Individual failings and faults of character also played their due role but they have necessarily to be seen against the background of these deeper, more impersonal factors"
1350," Satish Chandra, Parties and Politics at the Mughal Court, 170740 Various explanations are put forward for the revolts which brought about the collapse of the Mughal Empire"
1351, Here our main concern is with what our 17th and early 18th century authorities have to say
1352," And it will be seen that they, at any rate, put the greatest store by the economic and administrative causes of the upheaval and know little of religious reaction or national consciousness"
1353, Thus was the Mughal Empire destroyed
1354," No new order was, or could be, created by the forces ranged against it"
1355," Irfan Habib, The Agrarian System of Mughal India The more I study the period, the more I am convinced that military inefficiency was the principal, if not the sole, cause of that empire's final collapse"
1356, All other defects and weaknesses were as nothing in comparison with this
1357,"Long before it disappeared, it had lost all military energy at the centre, and was ready to crumble to pieces at the first touch"
1358," The rude hand of no Persian or Afghan conqueror, no Nadir, no Ahmad Abdali, the genius of no European adventure, a Dupleix or a    72      A Brief History of Modern India  Clive, was needed to precipitate it into the abyss"
1359, The empire of the Mughals was already doomed before any of these had appeared on the scene
1360, and had they never been heard of there can be little doubt that some Mahratta bandit or Sikh freebooter would in due time have seated himself on the throne of Akbar and Shahjahan
1361," William Irvine, Army of the Indian Mughals A common impression is, that"
1362,"it was irretrievably ruined in the reign of Aurangzeb, a monarch of great ability, energy and determination, but lacking in political insight, and a bigoted Mussulman"
1363," He struck the first mortal blow by reversing Akbar's wise and generous policy of ignoring distinctions of race and religion, and reimposing the jizya or poll tax, on his Hindu subjects"
1364," whereby he estranged them, and turned the noblest and most warlike of themthe Rajputs, hitherto the staunchest supporters of the throneinto deadly and persistent enemies"
1365," And Shivaji and his followers not only vindicated their independence, but struck a second mortal blow at the integrity of the Empire"
1366, They destroyed its military reputation
1367, They exhausted its accumulated treasure
1368, They spread disorder and devastation over the Deccan and beyond it
1369,They established an imperium in imperio
1370," Thus the Empire, though not dissolved, was hopelessly debilitated"
1371, The effective authority of the central government was thenceforth in abeyance
1372,"Nadir Shah, after inflicting the extremity of humiliation on the Emperor and his capital, annexed the Imperial territory west of the Indus"
1373, The dissolution of the Empire was complete
1374," Sidney Owen, The Fall of the Mughal Empire The Mughal Empire and with it the Maratha overlordship of Hindustan fell because of the rottenness at the core of Indian society"
1375, The rottenness showed itself in the form of military and political helplessness
1376, The country could not defend itself
1377, royalty was hopelessly depraved or imbecile
1378, the nobles were selfish and shortsighted
1379," In the midst of this decay and confusion, our literature, art and even true religion had perished"
1380," Mughal rule has often been defined as 'the rule of the nobility', because these nobles played a central role in administering the empire"
1381," Although Akbar had provided a wellknit organisation for them, there was divisiveness among the nobility on the basis of religion, homeland and tribe, and each category formed a group of its own"
1382," Mutual rivalry, jealousy and contest for power among the various groups during the rule of the later Mughals (in the absence of a strong central leadership) not only reduced the prestige of the emperor, but also contributed to the decline of the empire"
1383,"  Rise of Regional Aspirations Aurangzeb's reign itself witnessed powerful regional groups like the Jats, Sikhs and Marathas defying the authority of the Mughal state in their bid to create kingdoms of their own"
1384," They did not succeed in their efforts, but they influenced the future course of political events in their respective regions"
1385, Their continuous struggle against the empire for political ascendancy weakened the empire considerably
1386," Aurangzeb, and after him Bahadur Shah I, by attempting to suppress the Rajputs, spurred them to battle against the Mughals"
1387," The later Mughals made an effort to follow a policy of reconciliation with the Rajputs, but by then it was already too late: the Rajputs no longer trusted the Mughals enough to ally with them for the welfare of the empire"
1388, The Marathas too were becoming a formidable enemy
1389, Their aim was at first limited only to regaining control over the region of Maharashtra
1390, but it soon went on to include getting legal sanction from the Mughal emperor for collecting sardeshmukhi and chauth throughout India
1391," They forged northwards and, by 1740, succeeded in spreading their influence over the provinces of Gujarat, Malwa and Bundelkhand"
1392," The Rajput struggle against the empire and the growing ambition and power of the Marathas, thus, adversely affected the Mughal might"
1393," Causes of the Mughals' Downfall in a Nutshell Some of the main causes for the decline of the Mughals, briefly put, were as follows: (i) The government of the Mughals was a personal despotism and so its success depended on the character of the reigning ruler"
1394, The later Mughals were worthless and neglected the administration of the state
1395," With the absence of a definite law of succession, there always occurred a war of succession"
1396," this weakened the stability of the government, and fostered partisanship at the cost of patriotism"
1397," The degeneration of the rulers led to the degeneration of the nobility, with factious quarrels and intrigues costing the empire heavily"
1398, The deterioration of the army also proved disastrous for the empire
1399,"The empire had become too vast and unwieldy to be efficiently governed from a central authority under weak rulers, especially under the existing conditions of transport and communication"
1400,"Aurangzeb's religious policy was largely responsible, leading to revolts by Rajputs, Sikhs, Jats and Marathas"
1401, Aurangzeb's Deccan policy was a complete failure and was an important cause of the downfall of the Mughal empire
1402,Invasions of Irani and Durrani kingdoms gave a deathblow to the Mughal empire
1403,  Economic and Administrative Problems The number of amirs and their ranks or mansabs had increased sharply over time
1404, there was little land left to be distributed among them as jagirs
1405, Aurangzeb tried to solve the problem of acute shortage of jagirs or bejagiri by showing enhanced income from the jagirs on record
1406, But this was a shortsighted measure as the amirs tried to recover the recorded income from their jagirs by pressurising the peasantry
1407, So both the amirs and the peasantry were antagonised
1408," Then there were the wars, the luxurious lifestyles of the emperors and amirs alike, the reduction in khalisa land, all of which burdened the state"
1409, The result was that the expenditure of the state much exceeded its income
1410,"There was, moreover, no significant scientific and technological advance that could have improved a stagnant economy"
1411, The once flourishing trade did not enrich the empire's coffers even as the inroads by European traders grew along coastal India
1412, These economic and administrative problems only multiplied following the death of Aurangzeb
1413, The empire had become too vast to be efficiently administered by a centralised system when the rulers were weak and incompetent
1414,  Rise of Regional States The states that emerged as a result of the decline of the Mughal Empire can be classified into the following three broad categories: (i) Successor States These were the Mughal provinces that turned into states after breaking away from the empire
1415," Though they did not challenge the sovereignty of the Mughal ruler, the establishment of virtually independent and hereditary authority by their governors showed the emergence of autonomous polity in these territories"
1416," Some examples are Awadh, Bengal and Hyderabad"
1417,"  Independent Kingdoms These states came into existence primarily due to the destabilisation of the Mughal control over the provinces, examples being Mysore, Kerala and the Rajput states"
1418,"The New States These were the states set up by the rebels against the Mughal empire, examples being the Maratha, the Sikh and the Jat states"
1419,"  Survey of Regional Kingdoms Hyderabad The founder of the AsafJah house of Hyderabad was Kilich Khan, popularly known as NizamulMulk"
1420, It was Zulfikar Khan who had first conceived the idea of an independent state in the Deccan
1421, But with his death in 1713 the dream remained unfulfilled
1422," Kilich Khan, disgusted with the Mughal emperor who had appointed Mubariz Khan as a fullfledged viceroy of the Deccan, decided to fight Mubariz Khan"
1423, He defeated and later killed Mubariz Khan in the Battle of ShakrKheda (1724)
1424, He now assumed control of the Deccan
1425," In 1725, he became the viceroy and conferred on himself the title of AsafJah"
1426,"  Awadh The founder of the independent principality of Awadh was Saadat Khan, popularly known as BurhanulMulk"
1427, Saadat Khan was a Shia
1428," He had joined in a conspiracy against the Sayyid brothers, which resulted in his being given an increased mansab"
1429," Later, driven out of the court, he was prompted to found a new independent state"
1430, Saadat Khan committed suicide due to pressure from Nadir Shah who was demanding a huge booty from him
1431, He was succeeded by Safdar Jang as the Nawab of Awadh
1432,  Bengal Murshid Kuli Khan was the founder of the independent state of Bengal
1433, He was a capable ruler and made Bengal a prosperous state
1434, He was succeeded in 1727 by his son Shujauddin
1435," His successor, Sarfaraz Khan, was killed in 1740 by Alivardi Khan, the deputy governor of Bihar at Gheria, who assumed power and made himself independent of the Mughal emperor by giving yearly tribute"
1436,  The Rajputs The Rajputs tried to reestablish their independence in the 18th century
1437," This forced the Mughal ruler Bahadur Shah I to march against Ajit Singh (1708), who had formed an alliance with Jai Singh II and Durgadas Rathor"
1438, But the alliance was broken and the situation was saved for the Mughals
1439, At one time the Rajputs controlled the entire territory extending from the south of Delhi up to the western coast
1440,Mysore Another important state to make its appearance in the eighteenth century was that of Mysore
1441, This territory located at the junction of the Eastern and Western Ghats was ruled by the Wodeyars
1442," Various powers, interested in this territory, turned the area into a constant battlefield"
1443, In the end the Mysore state was brought under the rule of Haider Ali who ruled the state but not without trouble
1444, He was involved in constant warfare with the British and so was his son Tipu Sultan
1445,  Kerala Martanda Varma established an independent state of Kerala with Travancore as his capital
1446, He extended the boundaries of his state from Kanyakumari to Cochin
1447, He made efforts to organise his army along the Western model and adopted various measures to develop his state
1448,"  The Jats The agriculturist Jat settlers living around Delhi, Mathura, and Agra revolted against the oppressive policies of Aurangzeb"
1449," After some initial setbacks, Churaman and Badan Singh succeeded in setting up the Jat state of Bharatpur"
1450, But it was under Suraj Mal that Jat power reached its zenith
1451, He not only provided an efficient system of administration but also greatly extended the territory of the state
1452," His state included territories from Ganga in the east to Chambal in the south and included the Subahs of Agra, Mathura, Meerut and Aligarh"
1453," However, the Jat state suffered a decline after the death of Suraj Mal in 1763"
1454," Thereafter, the state split into small areas controlled by petty zamindars who mainly lived by plunder"
1455,  The Sikhs Guru Gobind Singh transformed the Sikhs into a militant sect in defence of their religion and liberties
1456," Banda Bahadur, who later assumed the leadership of the Sikhs in 1708, was    78      A Brief History of Modern India  defeated and killed"
1457," In the wake of the invasions of Nadir Shah and Ahmad Shah Abdali, the Sikhs once again asserted their authority"
1458, At this stage they organised themselves into 12 misls or confederacies which exercised control over different parts of the kingdom
1459, The credit for establishing a strong kingdom of Punjab goes to Ranjit Singh
1460," He was the son of Mahan Singh, the leader of the Sukarchakiya misl"
1461, Ranjit Singh brought under control the area extending from the Sutlej to the Jhelum
1462, He conquered Lahore in 1799 and Amritsar in 1802
1463," By the Treaty of Amritsar with the British, Ranjit Singh acknowledged the British right over the cisSutlej territories"
1464, Ranjit Singh proved to be an efficient administrator
1465, He greatly modernised his army with the help of Europeans
1466," But towards the close of his reign, the English forced him to sign the Tripartite Treaty in 1838 with Shah Shuja and the English Company whereby he agreed to provide passage to the British troops through Punjab with a view to placing Shah Shuja on the throne of Kabul"
1467, Ranjit Singh died in 1839
1468," His successors could not keep the state intact and, soon enough, the British took control over it"
1469,  The Marathas Perhaps the most formidable province to emerge was that of the Marathas
1470," Under the capable leadership of the Peshwas, the Marathas uprooted the Mughal authority from Malwa and Gujarat and established their rule"
1471," At one time they claimed the right to be the chief inheritors of the Mughal dominion, but their authority was challenged by Ahmed Shah Abdali in the Third Battle of Panipat (1761)"
1472, The Marathas quickly recovered from the defeat and offered the most formidable challenge to the English East India Company in the struggle for political supremacy in India
1473,  Rohilakhand and Farukhabad The states of Rohilakhand and the kingdom of the Bangash Pathans were a fall out of the Afghan migration into India
1474, Large scale immigration of Afghans into India took place in      India on the Eve of British Conquest    79  mid18th century because of political and economic turmoil in Afghanistan
1475," Ali Muhammad Khan took advantage of the collapse of authority in north India following Nadir Shah's invasion, to set up a petty kingdom, Rohilakhand"
1476, This was the area of the Himalayan foothills between Kumaon in the north and the Ganga in the south
